city/county,state,name,sex,position,year,headline,link,description
Jack County,TX,James Brock,male,county commissioner,2021,Jack County commissioner resigns after reported threats over wind farm fight - KFDX - Texomashomepage.com,https://news.google.com/__i/rss/rd/articles/CBMifWh0dHBzOi8vd3d3LnRleG9tYXNob21lcGFnZS5jb20vbmV3cy9sb2NhbC1uZXdzL2phY2stY291bnR5LWNvbW1pc3Npb25lci1yZXNpZ25zLWFmdGVyLXJlcG9ydGVkLXRocmVhdHMtb3Zlci13aW5kLWZhcm0tZmlnaHQv0gGBAWh0dHBzOi8vd3d3LnRleG9tYXNob21lcGFnZS5jb20vbmV3cy9sb2NhbC1uZXdzL2phY2stY291bnR5LWNvbW1pc3Npb25lci1yZXNpZ25zLWFmdGVyLXJlcG9ydGVkLXRocmVhdHMtb3Zlci13aW5kLWZhcm0tZmlnaHQvYW1wLw?oc=5,threats over wind farm tax abatements
Chico,CA,Kami Denlay,female,city council member,2021,"Chico City Council Member Kami Denlay resigns, citing concern for family safety - Action News Now",https://news.google.com/__i/rss/rd/articles/CBMiqQFodHRwczovL3d3dy5hY3Rpb25uZXdzbm93LmNvbS9uZXdzL2xvY2FsL2NoaWNvLWNpdHktY291bmNpbC1tZW1iZXIta2FtaS1kZW5sYXktcmVzaWducy1jaXRpbmctY29uY2Vybi1mb3ItZmFtaWx5LXNhZmV0eS9hcnRpY2xlX2RhNjZiNjNkLWQ4NDYtNWEzNC05NzVjLTA4MWQzNTg3ZTRmYy5odG1s0gEA?oc=5,family surveilled
Doylestown,PA,John Gamble,male,school board vice president,2021,"Central Bucks adopts state ordered mask rule, Gamble resigns board after death threats - Bucks County Courier Times",https://news.google.com/__i/rss/rd/articles/CBMiqgFodHRwczovL3d3dy5idWNrc2NvdW50eWNvdXJpZXJ0aW1lcy5jb20vc3RvcnkvbmV3cy8yMDIxLzA5LzAxL2NlbnRyYWwtYnVja3MtYWNob29sLWRpc3RyaWN0LWFkb3B0cy1tYXNrLW1hbmRhdGUtam9obi1nYW1ibGUtcmVzaWducy1hZnRlci10aHJlYXRzLXBlbm5zeWx2YW5pYS81NjcwNDc3MDAxL9IBAA?oc=5,death threats and online harassment over masking decision
Fulton County,GA,Ralph Jones,male,voter registration chief,2021,"After Threats And Pressure, Fulton County Voter Registration Chief Resigns – WABE - WABE 90.1 FM",https://news.google.com/__i/rss/rd/articles/CBMiX2h0dHBzOi8vd3d3LndhYmUub3JnL2FmdGVyLXRocmVhdHMtYW5kLXByZXNzdXJlLWZ1bHRvbi1jb3VudHktdm90ZXItcmVnaXN0cmF0aW9uLWNoaWVmLXJlc2lnbnMv0gEA?oc=5,violent threats; strangers visiting his home
Creswell,OR,Amy Knudsen,female,mayor,2021,Mayor of Creswell resigns less than a month after parade citation protest at her home - KVAL,https://news.google.com/__i/rss/rd/articles/CBMicWh0dHBzOi8va3ZhbC5jb20vbmV3cy9sb2NhbC9tYXlvci1vZi1jcmVzd2VsbC1yZXNpZ25zLWxlc3MtdGhhbi1hLW1vbnRoLWFmdGVyLXBhcmFkZS1jaXRhdGlvbi1wcm90ZXN0LWF0LWhlci1ob21l0gF1aHR0cHM6Ly9rdmFsLmNvbS9hbXAvbmV3cy9sb2NhbC9tYXlvci1vZi1jcmVzd2VsbC1yZXNpZ25zLWxlc3MtdGhhbi1hLW1vbnRoLWFmdGVyLXBhcmFkZS1jaXRhdGlvbi1wcm90ZXN0LWF0LWhlci1ob21l?oc=5,people came to her house waving flags and asserting that she was part of the Chinese Communist Party after there was an unauthorized parade held in town and certain people were issued citations; her home address was posted online
Washoe County,NV,Kurt Thigpen,male,school board trustee,2021,School board members resign following 'toxic' debates over CRT and mask mandates - coloradopolitics.com,https://news.google.com/__i/rss/rd/articles/CBMioQFodHRwczovL3d3dy5jb2xvcmFkb3BvbGl0aWNzLmNvbS9zY2hvb2wtYm9hcmQtbWVtYmVycy1yZXNpZ24tZm9sbG93aW5nLXRveGljLWRlYmF0ZXMtb3Zlci1jcnQtYW5kLW1hc2stbWFuZGF0ZXMvYXJ0aWNsZV9mYzJhODgzYS02NmJmLTUyMzAtOTJjOS03ZGYwNjMzMjNhYjAuaHRtbNIBAA?oc=5,violent threats; thoughts of suicide
Robbinsdale,MN,Pam Lindberg,female,school board member,2021,"Robbinsdale School Board Member Resigns, Says 'The Hate Is Too Much' - ccxmedia.org",https://news.google.com/__i/rss/rd/articles/CBMiXGh0dHBzOi8vY2N4bWVkaWEub3JnL25ld3Mvcm9iYmluc2RhbGUtc2Nob29sLWJvYXJkLW1lbWJlci1yZXNpZ25zLXNheXMtdGhlLWhhdGUtaXMtdG9vLW11Y2gv0gEA?oc=5,negative messages on social media
Grand Haven,MI,John Siemion,male,school board president,2021,School board president resigns over harassment following K-12 mask mandate: ‘It’s a no-win situation’ - MLive.com,https://news.google.com/__i/rss/rd/articles/CBMikgFodHRwczovL3d3dy5tbGl2ZS5jb20vbmV3cy9tdXNrZWdvbi8yMDIxLzA5L3NjaG9vbC1ib2FyZC1wcmVzaWRlbnQtcmVzaWducy1vdmVyLWhhcmFzc21lbnQtZm9sbG93aW5nLWstMTItbWFzay1tYW5kYXRlLWl0cy1hLW5vLXdpbi1zaXR1YXRpb24uaHRtbNIBAA?oc=5,threats over mask mandates and vaccines
Beaver Dam,WI,Tony Klatt,male,school board member,2021,"Beaver Dam school board member resigns, citing safety concerns by family amid mask controversy - Madison.com",https://news.google.com/__i/rss/rd/articles/CBMixgFodHRwczovL21hZGlzb24uY29tL25ld3MvbG9jYWwvZWR1Y2F0aW9uL2xvY2FsX3NjaG9vbHMvYmVhdmVyLWRhbS1zY2hvb2wtYm9hcmQtbWVtYmVyLXJlc2lnbnMtY2l0aW5nLXNhZmV0eS1jb25jZXJucy1ieS1mYW1pbHktYW1pZC1tYXNrLWNvbnRyb3ZlcnN5L2FydGljbGVfYjAzZTU2NzctMzJlZi01ZjEyLWE4YjYtMzRkNjMxMTNhYjAxLmh0bWzSAQA?oc=5,threats over mask mandates; unknown car outside his house
Washington County,VA,Terry Fleenor,male,school board member,2021,"Washington County, Va. school board member to resign, citing ‘political climate’ in county - WJHL-TV News Channel 11",https://news.google.com/__i/rss/rd/articles/CBMidmh0dHBzOi8vd3d3LndqaGwuY29tL25ld3MvbG9jYWwvd2FzaGluZ3Rvbi1jb3VudHktdmEtc2Nob29sLWJvYXJkLW1lbWJlci10by1yZXNpZ24tY2l0aW5nLXBvbGl0aWNhbC1jbGltYXRlLWluLWNvdW50eS_SAXpodHRwczovL3d3dy53amhsLmNvbS9uZXdzL2xvY2FsL3dhc2hpbmd0b24tY291bnR5LXZhLXNjaG9vbC1ib2FyZC1tZW1iZXItdG8tcmVzaWduLWNpdGluZy1wb2xpdGljYWwtY2xpbWF0ZS1pbi1jb3VudHkvYW1wLw?oc=5,hate-filled emails; threat to car
South Hadley,MA,Charles Miles,male,school board member,2021,South Hadley school board member quits after mask spat sparks online brouhaha - MassLive.com,https://news.google.com/__i/rss/rd/articles/CBMieGh0dHBzOi8vd3d3Lm1hc3NsaXZlLmNvbS9uZXdzLzIwMjEvMDkvc291dGgtaGFkbGV5LXNjaG9vbC1ib2FyZC1tZW1iZXItcXVpdHMtYWZ0ZXItbWFzay1zcGF0LXNwYXJrcy1vbmxpbmUtYnJvdWhhaGEuaHRtbNIBAA?oc=5,"violent online threats, including being called a ""child abuser,"" because of mask policies"
Stanly County,NC,Jeff Chance,male,school board member,2021,Stanly County Board Chair Resigns After Receiving Death Threats - WCCB Charlotte,https://news.google.com/__i/rss/rd/articles/CBMiaWh0dHBzOi8vd3d3LndjY2JjaGFybG90dGUuY29tLzIwMjEvMTAvMDYvc3Rhbmx5LWNvdW50eS1ib2FyZC1jaGFpci1yZXNpZ25zLWFmdGVyLXJlY2VpdmluZy1kZWF0aC10aHJlYXRzL9IBAA?oc=5,death threats over mask policy
Loudoun County,VA,Beth Barts,female,school board member,2021,Loudoun school board member steps down following threats - WWBT,https://news.google.com/__i/rss/rd/articles/CBMiWmh0dHBzOi8vd3d3Lm5iYzEyLmNvbS8yMDIxLzEwLzI5L2xvdWRvdW4tc2Nob29sLWJvYXJkLW1lbWJlci1zdGVwcy1kb3duLWZvbGxvd2luZy10aHJlYXRzL9IBaWh0dHBzOi8vd3d3Lm5iYzEyLmNvbS8yMDIxLzEwLzI5L2xvdWRvdW4tc2Nob29sLWJvYXJkLW1lbWJlci1zdGVwcy1kb3duLWZvbGxvd2luZy10aHJlYXRzLz9vdXRwdXRUeXBlPWFtcA?oc=5,violent threats to her and her family
Whiteland,IN,Beth Poe,female,school board member,2021,2 Clark-Pleasant school board members resign in wake of contentious meeting - FOX 59 Indianapolis,https://news.google.com/__i/rss/rd/articles/CBMibWh0dHBzOi8vZm94NTkuY29tL25ld3MvZWR1Y2F0aW9uLzItY2xhcmstcGxlYXNhbnQtc2Nob29sLWJvYXJkLW1lbWJlcnMtcmVzaWduLWluLXdha2Utb2YtY29udGVudGlvdXMtbWVldGluZy_SAXFodHRwczovL2ZveDU5LmNvbS9uZXdzL2VkdWNhdGlvbi8yLWNsYXJrLXBsZWFzYW50LXNjaG9vbC1ib2FyZC1tZW1iZXJzLXJlc2lnbi1pbi13YWtlLW9mLWNvbnRlbnRpb3VzLW1lZXRpbmcvYW1wLw?oc=5,threats over mask policy
Whiteland,IN,Laura Cope,female,school board member,2021,2 Clark-Pleasant school board members resign in wake of contentious meeting - FOX 59 Indianapolis,https://news.google.com/__i/rss/rd/articles/CBMibWh0dHBzOi8vZm94NTkuY29tL25ld3MvZWR1Y2F0aW9uLzItY2xhcmstcGxlYXNhbnQtc2Nob29sLWJvYXJkLW1lbWJlcnMtcmVzaWduLWluLXdha2Utb2YtY29udGVudGlvdXMtbWVldGluZy_SAXFodHRwczovL2ZveDU5LmNvbS9uZXdzL2VkdWNhdGlvbi8yLWNsYXJrLXBsZWFzYW50LXNjaG9vbC1ib2FyZC1tZW1iZXJzLXJlc2lnbi1pbi13YWtlLW9mLWNvbnRlbnRpb3VzLW1lZXRpbmcvYW1wLw?oc=5,threats over mask policy
St. Charles,IL,Carolyn Waible,female,school board member,2021,District 303 school board member resigns over 'unrelenting harassment' - Daily Herald,https://news.google.com/__i/rss/rd/articles/CBMibmh0dHBzOi8vd3d3LmRhaWx5aGVyYWxkLmNvbS9uZXdzLzIwMjExMDE0L2Rpc3RyaWN0LTMwMy1zY2hvb2wtYm9hcmQtbWVtYmVyLXJlc2lnbnMtb3Zlci11bnJlbGVudGluZy1oYXJhc3NtZW500gEA?oc=5,dead animals thrown on driveway; followed and recorded; home broken into
